,gender,age,internet_access,study_environment,sleep_hours,social_media_hours,math_score,reading_score,writing_score,science_score,final_exam_score,pass_fail,total_score,average
1288,Female,17,Yes,Noisy,5.42,2.4,67.8,69.3,67.4,83.8,73.4,Pass,436.30000000000007,72.71666666666668
1289,Male,17,Yes,Noisy,8.19,3.7,56.0,63.5,58.9,49.1,56.4,Pass,365.0,60.833333333333336
1290,Male,18,Yes,Moderate,7.21,3.7,48.9,34.1,47.6,45.5,42.0,Fail,308.8,51.46666666666667
1291,Male,15,Yes,Moderate,8.12,3.9,64.8,63.9,45.3,72.3,60.7,Pass,386.4,64.39999999999999
1292,Female,16,No,Quiet,6.69,1.5,37.3,36.8,40.3,30.5,36.7,Fail,242.89999999999998,40.48333333333333
1293,Male,15,Yes,Moderate,7.48,2.8,41.3,46.1,52.3,42.7,44.7,Fail,289.59999999999997,48.26666666666666
1294,Female,17,Yes,Noisy,7.53,2.1,31.7,26.5,45.2,37.7,35.0,Fail,247.8,41.300000000000004
1295,Female,15,Yes,Moderate,7.19,2.8,34.0,46.8,48.4,44.6,42.9,Fail,268.2,44.699999999999996
1296,Male,17,Yes,Moderate,7.49,1.7,37.5,35.0,42.8,52.9,42.2,Fail,310.4,51.73333333333333
1297,Male,18,Yes,Quiet,6.86,4.9,24.0,28.2,37.4,25.9,29.6,Fail,215.2,35.86666666666667
1298,Male,18,Yes,Quiet,5.82,2.5,53.6,61.6,48.8,52.2,55.4,Pass,364.09999999999997,60.68333333333333
1299,Female,18,Yes,Quiet,4.96,2.3,38.7,37.1,9.4,40.7,32.0,Fail,225.40000000000003,37.56666666666667
1300,Male,17,Yes,Moderate,6.38,3.2,49.7,64.5,55.6,54.9,57.2,Pass,353.0,58.833333333333336
1301,Female,15,Yes,Moderate,7.79,4.2,49.4,26.8,36.8,43.4,35.9,Fail,261.6,43.6
1302,Male,15,Yes,Noisy,5.96,2.6,75.9,68.5,66.7,64.1,66.0,Pass,430.30000000000007,71.71666666666668
1303,Female,16,Yes,Moderate,8.06,2.0,48.7,46.9,58.9,54.4,47.0,Fail,355.9,59.31666666666666
1304,Female,17,Yes,Quiet,8.39,3.8,50.5,50.2,42.3,47.4,48.7,Fail,287.20000000000005,47.866666666666674
1305,Male,16,Yes,Quiet,7.47,5.1,36.6,43.6,42.6,45.6,40.6,Fail,275.3,45.88333333333333
1306,Female,18,Yes,Noisy,6.83,4.6,42.6,33.0,25.3,30.2,31.4,Fail,238.9,39.81666666666667
1307,Female,15,Yes,Moderate,8.02,1.0,24.5,44.9,42.0,28.6,35.9,Fail,219.7,36.61666666666667
1308,Male,17,Yes,Moderate,8.16,3.7,64.4,74.8,58.8,55.2,64.2,Pass,378.0,63.0
1309,Female,16,Yes,Moderate,6.77,2.4,82.8,67.9,68.7,56.3,71.9,Pass,424.0,70.66666666666667
1310,Male,16,Yes,Quiet,7.08,4.4,67.3,57.7,71.0,63.5,66.4,Pass,388.5,64.75
1311,Female,16,No,Quiet,6.19,5.3,43.1,49.5,50.4,43.9,45.7,Fail,303.0,50.5
1312,Male,15,Yes,Quiet,7.29,0.0,64.4,64.2,78.7,55.6,66.0,Pass,406.40000000000003,67.73333333333333
1313,Male,15,Yes,Quiet,4.93,2.5,39.3,37.3,24.4,28.5,32.8,Fail,224.5,37.416666666666664
1314,Female,15,No,Moderate,6.71,1.8,26.3,31.6,28.6,33.0,29.3,Fail,204.4,34.06666666666667
1315,Female,17,Yes,Moderate,6.15,1.4,47.3,33.8,43.6,33.7,37.1,Fail,250.7,41.78333333333333
1316,Female,15,Yes,Noisy,6.91,1.1,53.0,67.0,59.5,58.2,61.9,Pass,335.99999999999994,55.99999999999999
1317,Female,17,Yes,Noisy,6.2,1.8,57.8,59.0,40.2,55.8,53.8,Pass,344.70000000000005,57.45000000000001
1318,Female,16,Yes,Moderate,5.09,2.1,42.1,39.1,31.7,45.3,40.7,Fail,266.5,44.416666666666664
1319,Male,16,Yes,Moderate,6.35,2.0,39.9,60.8,56.2,51.5,54.3,Pass,350.9,58.48333333333333
1320,Female,18,Yes,Moderate,6.52,0.0,40.1,47.8,54.7,43.2,46.0,Fail,311.5,51.916666666666664
1321,Male,15,Yes,Quiet,8.07,2.7,29.6,43.0,33.1,39.3,33.2,Fail,249.39999999999998,41.56666666666666
1322,Male,16,Yes,Noisy,6.36,4.1,43.1,39.7,36.8,33.1,37.0,Fail,265.1,44.18333333333334
1323,Female,15,Yes,Moderate,6.15,1.7,49.5,69.4,44.7,51.1,52.6,Pass,311.3,51.88333333333333
1324,Male,17,Yes,Noisy,5.81,0.0,41.4,55.2,41.0,37.9,45.5,Fail,296.4,49.4
1325,Male,16,Yes,Noisy,8.14,2.6,57.1,51.1,46.4,71.4,58.6,Pass,351.5,58.583333333333336
1326,Male,15,Yes,Moderate,6.78,4.1,34.9,42.8,40.5,45.3,40.7,Fail,263.4,43.9
1327,Male,16,Yes,Quiet,7.27,2.7,35.6,45.2,39.9,38.4,43.5,Fail,266.20000000000005,44.366666666666674
1328,Female,16,Yes,Moderate,5.46,1.4,46.4,55.1,49.7,43.5,48.9,Fail,323.6,53.93333333333334
1329,Male,15,Yes,Moderate,5.25,0.9,46.9,50.2,50.4,37.1,43.9,Fail,290.0,48.333333333333336
1330,Female,16,Yes,Moderate,6.1,3.6,34.9,61.5,47.7,44.7,44.1,Fail,299.3,49.88333333333333
1331,Female,16,Yes,Quiet,8.62,2.2,39.7,39.9,36.8,39.7,38.4,Fail,273.1,45.51666666666667
1332,Male,16,Yes,Moderate,5.91,1.7,87.1,82.0,81.3,87.4,85.0,Pass,488.99999999999994,81.49999999999999
1333,Female,16,Yes,Noisy,6.37,1.6,47.2,53.6,53.4,37.9,47.5,Fail,312.3,52.050000000000004
1334,Female,17,Yes,Noisy,7.01,2.8,69.0,51.9,56.6,67.3,61.1,Pass,374.30000000000007,62.38333333333335
1335,Female,16,Yes,Quiet,6.37,2.7,69.5,79.0,87.7,72.0,72.5,Pass,467.29999999999995,77.88333333333333
1336,Male,18,Yes,Noisy,7.48,2.6,40.1,42.8,45.1,35.5,41.1,Fail,277.2,46.199999999999996
1337,Female,16,Yes,Quiet,6.17,1.1,57.6,59.9,69.1,64.4,64.5,Pass,360.9,60.15
1338,Female,15,No,Noisy,5.9,1.0,61.2,64.8,51.7,61.6,58.6,Pass,379.79999999999995,63.29999999999999
1339,Female,18,Yes,Quiet,9.72,1.5,60.1,54.7,56.5,56.4,56.1,Pass,344.1,57.35
1340,Male,17,No,Noisy,6.06,2.9,62.6,52.6,44.2,50.6,51.9,Pass,324.2,54.03333333333333
1341,Female,18,Yes,Moderate,7.8,3.3,47.1,49.5,35.7,60.8,48.6,Fail,308.5,51.416666666666664
1342,Male,18,Yes,Quiet,6.06,4.7,31.5,47.5,46.2,36.6,40.9,Fail,302.70000000000005,50.45000000000001
1343,Male,18,Yes,Quiet,5.46,1.2,44.1,32.6,32.3,50.8,38.2,Fail,275.9,45.98333333333333
1344,Male,15,Yes,Quiet,6.91,3.6,60.4,76.4,68.6,65.6,63.0,Pass,432.8,72.13333333333334
1345,Male,15,Yes,Moderate,5.66,0.0,32.8,54.5,46.2,44.6,48.3,Fail,297.29999999999995,49.54999999999999
1346,Male,15,Yes,Noisy,6.61,3.0,44.7,30.8,41.0,31.3,39.4,Fail,268.20000000000005,44.70000000000001
1347,Male,17,Yes,Moderate,6.2,0.2,53.5,48.7,49.7,61.6,52.0,Pass,362.4,60.4
1348,Female,15,Yes,Noisy,8.25,0.7,73.0,84.5,82.6,78.9,80.2,Pass,481.5,80.25
1349,Male,15,Yes,Moderate,5.46,3.6,48.3,56.5,49.2,56.3,52.8,Pass,339.3,56.550000000000004
1350,Female,18,Yes,Noisy,7.68,2.7,32.9,38.7,39.8,40.3,37.5,Fail,238.7,39.78333333333333
1351,Female,15,No,Moderate,7.29,2.0,41.6,42.7,45.4,43.2,46.7,Fail,274.40000000000003,45.73333333333334
1352,Male,16,Yes,Quiet,6.77,0.4,57.6,45.3,44.8,46.7,51.2,Pass,320.09999999999997,53.349999999999994
1353,Female,15,Yes,Moderate,6.24,3.1,42.5,40.7,46.9,52.1,45.3,Fail,312.7,52.11666666666667
1354,Female,17,Yes,Quiet,7.17,2.6,28.7,26.0,37.0,51.2,35.3,Fail,246.2,41.03333333333333
1355,Female,17,Yes,Noisy,7.23,3.6,52.6,47.6,58.4,59.0,49.9,Fail,347.6,57.93333333333334
1356,Female,16,Yes,Quiet,7.39,0.0,37.2,48.6,21.4,36.6,38.0,Fail,239.10000000000002,39.85
1357,Male,17,Yes,Quiet,6.73,3.4,36.6,42.1,55.5,61.7,52.6,Pass,309.0,51.5
1358,Female,17,Yes,Quiet,5.85,1.7,83.2,87.7,67.2,71.7,77.5,Pass,464.5,77.41666666666667
1359,Male,18,Yes,Moderate,7.88,2.9,44.0,43.2,43.5,29.8,40.5,Fail,271.9,45.31666666666666
1360,Female,16,No,Quiet,7.0,2.4,58.6,45.5,56.6,32.9,47.0,Fail,304.9,50.81666666666666
1361,Female,18,Yes,Noisy,6.39,1.2,30.4,46.1,48.2,51.8,39.2,Fail,277.7,46.28333333333333
1362,Male,18,Yes,Quiet,6.0,1.9,64.4,59.1,58.2,37.0,55.1,Pass,321.3,53.550000000000004
1363,Female,15,Yes,Quiet,7.92,1.2,68.5,65.0,63.4,61.0,61.7,Pass,389.19999999999993,64.86666666666666
1364,Female,16,Yes,Quiet,8.38,1.7,49.4,26.1,40.9,31.3,35.2,Fail,231.00000000000003,38.50000000000001
1365,Female,15,No,Quiet,7.58,1.1,71.5,40.9,41.4,53.3,51.5,Pass,324.0,54.0
1366,Male,15,No,Moderate,7.64,3.1,46.3,31.9,46.3,48.8,47.1,Fail,287.9,47.98333333333333
1367,Female,18,Yes,Quiet,8.17,1.2,61.0,63.2,48.1,60.4,57.0,Pass,381.1,63.51666666666667
1368,Male,17,Yes,Quiet,6.64,3.3,53.5,46.6,53.5,31.2,48.5,Fail,287.5,47.916666666666664
1369,Female,16,Yes,Quiet,9.13,7.4,48.6,58.0,65.2,54.3,57.1,Pass,360.40000000000003,60.06666666666667
1370,Male,17,Yes,Quiet,5.94,2.1,46.4,28.8,43.3,44.7,38.7,Fail,274.5,45.75
1371,Male,18,Yes,Moderate,6.76,0.1,54.0,60.8,50.1,50.9,51.7,Pass,321.7,53.61666666666667
1372,Female,18,Yes,Moderate,6.23,5.7,45.5,42.3,49.4,47.3,46.0,Fail,301.4,50.23333333333333
1373,Female,18,Yes,Quiet,7.06,3.0,41.0,41.8,48.6,35.5,42.5,Fail,259.5,43.25
1374,Male,18,Yes,Quiet,8.73,2.3,42.6,46.3,67.8,44.4,53.8,Pass,325.79999999999995,54.29999999999999
1375,Male,18,Yes,Moderate,6.76,1.9,38.7,51.3,49.6,48.6,45.4,Fail,300.3,50.050000000000004
1376,Female,18,Yes,Quiet,7.42,0.9,45.5,45.9,45.7,41.9,48.5,Fail,310.8,51.800000000000004
1377,Male,17,Yes,Moderate,4.09,2.0,54.2,62.3,63.4,72.6,63.4,Pass,375.2,62.53333333333333
1378,Female,15,Yes,Noisy,7.43,1.3,44.9,55.3,51.9,36.5,49.4,Fail,274.7,45.78333333333333
1379,Female,17,Yes,Quiet,8.0,1.3,52.8,52.4,62.2,67.2,59.0,Pass,354.9,59.15
1380,Female,16,Yes,Quiet,7.12,3.4,53.7,55.7,59.1,47.7,54.5,Pass,350.0,58.333333333333336
1381,Female,17,Yes,Quiet,5.93,4.0,52.3,46.8,43.4,38.3,41.5,Fail,294.5,49.083333333333336
1382,Male,18,Yes,Moderate,5.8,2.2,40.1,41.9,36.0,26.9,38.0,Fail,244.3,40.71666666666667
1383,Female,17,Yes,Quiet,6.45,3.3,45.2,31.5,44.0,50.3,38.6,Fail,297.8,49.63333333333333
1384,Male,15,Yes,Moderate,5.79,5.6,47.7,45.3,30.6,52.8,48.6,Fail,290.79999999999995,48.46666666666666
1385,Female,16,No,Noisy,8.58,1.2,63.5,54.4,59.2,61.2,59.5,Pass,379.6,63.26666666666667
1386,Male,17,No,Quiet,7.47,0.0,63.9,50.3,57.4,49.2,54.9,Pass,346.1,57.68333333333334
1387,Female,15,Yes,Quiet,8.44,3.7,48.7,52.7,47.3,59.7,51.8,Pass,340.29999999999995,56.71666666666666
1388,Male,17,Yes,Moderate,6.71,1.4,46.9,61.7,60.6,64.4,59.6,Pass,374.7,62.449999999999996
1389,Male,16,No,Quiet,6.24,1.7,18.6,16.1,20.3,21.3,15.3,Fail,181.7,30.28333333333333
1390,Female,17,Yes,Quiet,6.3,2.7,48.6,31.3,35.5,32.2,35.0,Fail,240.90000000000003,40.150000000000006
1391,Female,18,Yes,Moderate,6.54,4.4,48.7,40.5,39.9,43.8,42.8,Fail,294.29999999999995,49.04999999999999
1392,Female,17,Yes,Quiet,6.51,2.7,35.6,53.1,37.1,44.0,41.5,Fail,262.8,43.800000000000004
1393,Female,15,No,Noisy,8.22,0.0,71.4,50.8,60.5,59.3,59.6,Pass,380.0,63.333333333333336
1394,Male,17,Yes,Quiet,7.91,3.0,45.5,56.7,42.6,46.4,44.8,Fail,280.7,46.78333333333333
1395,Female,15,Yes,Moderate,7.27,2.8,52.2,52.0,52.6,56.1,53.5,Pass,365.29999999999995,60.883333333333326
1396,Male,16,Yes,Moderate,5.34,1.2,72.1,51.5,57.4,70.2,64.5,Pass,390.7,65.11666666666666
1397,Male,17,Yes,Quiet,7.3,0.0,54.2,50.8,52.9,63.3,57.2,Pass,351.79999999999995,58.633333333333326
1398,Female,16,Yes,Quiet,6.69,1.9,44.4,49.4,45.9,38.4,46.9,Fail,270.3,45.050000000000004
1399,Male,16,No,Quiet,8.41,0.0,47.0,57.0,54.0,55.5,51.9,Pass,350.59999999999997,58.43333333333333
1400,Male,17,Yes,Noisy,7.9,0.0,38.8,53.3,48.4,38.2,48.0,Fail,315.4,52.56666666666666
1401,Male,15,Yes,Moderate,7.14,0.5,68.8,73.5,57.0,64.2,63.9,Pass,394.0,65.66666666666667
1402,Male,16,No,Quiet,4.9,0.6,46.7,25.2,44.8,27.5,35.3,Fail,243.0,40.5
1403,Female,16,Yes,Moderate,6.86,3.8,35.6,37.3,39.0,52.5,36.8,Fail,265.6,44.26666666666667
1404,Female,17,Yes,Moderate,6.35,2.3,60.2,47.2,49.7,52.4,52.3,Pass,357.70000000000005,59.616666666666674
1405,Female,17,Yes,Noisy,7.41,3.0,47.4,33.2,44.6,44.9,44.0,Fail,282.6,47.1
1406,Female,17,Yes,Quiet,5.86,2.8,41.2,48.9,50.0,40.1,44.0,Fail,296.7,49.449999999999996
1407,Male,17,Yes,Noisy,7.26,0.2,51.3,62.6,81.4,62.8,64.5,Pass,406.90000000000003,67.81666666666668
1408,Male,17,No,Moderate,4.78,1.7,40.6,47.3,49.1,43.8,46.7,Fail,260.9,43.48333333333333
1409,Female,18,Yes,Noisy,5.61,2.2,48.0,45.5,57.3,48.4,49.7,Fail,317.70000000000005,52.95000000000001
1410,Female,17,Yes,Quiet,6.12,2.3,45.5,48.8,48.3,47.8,48.1,Fail,304.29999999999995,50.71666666666666
1411,Female,15,Yes,Quiet,6.45,3.2,47.0,54.8,65.7,66.0,61.4,Pass,367.2,61.199999999999996
1412,Male,16,Yes,Noisy,7.39,3.9,24.7,39.4,32.5,34.2,34.1,Fail,247.0,41.166666666666664
1413,Female,15,Yes,Noisy,5.34,3.1,43.2,38.5,44.3,65.7,47.3,Fail,323.6,53.93333333333334
1414,Female,15,Yes,Quiet,6.36,5.1,45.9,44.0,47.5,62.1,49.4,Fail,315.4,52.56666666666666
1415,Female,18,Yes,Moderate,6.38,3.2,66.4,58.0,59.4,60.7,62.5,Pass,374.8,62.46666666666667
1416,Male,17,Yes,Quiet,7.69,1.7,60.4,62.3,66.6,54.6,59.4,Pass,373.69999999999993,62.283333333333324
1417,Male,16,Yes,Quiet,6.81,4.4,41.7,42.1,48.9,40.8,43.5,Fail,298.4,49.73333333333333
1418,Male,15,Yes,Quiet,6.03,0.7,72.1,47.7,53.9,47.5,56.1,Pass,364.5,60.75
1419,Male,17,Yes,Quiet,5.92,3.3,36.8,40.5,54.0,52.9,48.6,Fail,281.7,46.949999999999996
1420,Male,17,Yes,Moderate,6.45,2.3,61.5,71.6,70.8,60.6,66.4,Pass,406.5,67.75
1421,Male,18,Yes,Quiet,5.35,1.2,43.4,53.4,48.4,53.2,51.7,Pass,317.09999999999997,52.849999999999994
1422,Male,18,Yes,Quiet,8.63,2.8,66.4,67.6,67.4,62.9,65.3,Pass,429.6,71.60000000000001
1423,Male,18,Yes,Noisy,7.0,2.1,45.4,49.7,38.6,44.9,45.1,Fail,277.2,46.199999999999996
1424,Female,16,Yes,Quiet,6.09,0.0,52.3,48.2,36.3,52.8,46.9,Fail,289.1,48.18333333333334
1425,Female,15,Yes,Moderate,5.95,2.8,83.0,73.1,72.5,87.9,79.1,Pass,456.70000000000005,76.11666666666667
1426,Male,18,Yes,Noisy,5.79,1.0,35.7,35.3,57.6,47.2,44.0,Fail,298.70000000000005,49.78333333333334
1427,Male,18,Yes,Quiet,7.37,2.7,51.9,33.9,30.2,38.2,40.7,Fail,274.0,45.666666666666664
1428,Female,18,No,Quiet,5.35,2.3,44.0,36.2,39.2,52.2,44.4,Fail,277.8,46.300000000000004
1429,Male,15,Yes,Moderate,6.82,3.1,32.8,42.3,52.3,73.7,49.6,Fail,335.9,55.98333333333333
1430,Male,15,Yes,Moderate,7.57,0.0,40.9,54.2,44.5,58.2,45.4,Fail,306.70000000000005,51.116666666666674
1431,Male,18,Yes,Moderate,6.41,1.0,50.4,55.7,55.4,60.2,58.3,Pass,362.8,60.46666666666667
1432,Female,18,Yes,Moderate,5.99,2.7,58.7,44.2,49.1,52.2,47.2,Fail,300.5,50.083333333333336
1433,Female,17,Yes,Noisy,7.84,6.8,45.7,43.5,46.7,19.3,38.5,Fail,249.20000000000002,41.53333333333334
1434,Female,18,Yes,Quiet,5.87,2.7,63.7,40.0,54.6,56.3,53.2,Pass,331.6,55.26666666666667
1435,Female,16,Yes,Moderate,6.72,1.8,42.3,44.0,31.8,53.8,44.9,Fail,285.9,47.65
1436,Female,16,Yes,Quiet,7.12,3.8,48.9,44.9,44.1,52.6,49.5,Fail,297.4,49.56666666666666
1437,Male,18,Yes,Quiet,6.4,1.6,55.0,42.5,48.2,39.3,44.4,Fail,286.6,47.76666666666667
1438,Female,15,Yes,Quiet,5.8,3.1,34.6,42.9,43.1,34.6,39.1,Fail,271.09999999999997,45.18333333333333
1439,Male,17,Yes,Moderate,6.44,2.6,32.7,45.1,49.7,57.3,45.5,Fail,312.6,52.1
1440,Male,15,Yes,Noisy,7.34,4.1,41.4,24.3,22.1,26.0,27.0,Fail,199.10000000000002,33.18333333333334
1441,Female,18,Yes,Quiet,6.27,3.5,48.0,49.8,55.7,51.7,49.6,Fail,304.7,50.78333333333333
1442,Female,16,Yes,Quiet,7.45,1.8,37.4,30.8,36.2,33.5,33.8,Fail,243.2,40.53333333333333
1443,Male,17,Yes,Quiet,6.74,0.2,38.5,52.9,53.1,63.0,51.0,Pass,335.5,55.916666666666664
1444,Male,15,Yes,Quiet,6.39,0.9,53.2,38.8,55.6,58.8,54.8,Pass,315.5,52.583333333333336
1445,Male,15,Yes,Moderate,6.27,2.9,39.0,46.3,43.1,61.9,51.2,Pass,336.6,56.1
1446,Female,18,Yes,Moderate,7.23,2.4,49.1,43.1,54.4,44.2,45.2,Fail,292.8,48.800000000000004
1447,Female,17,Yes,Noisy,8.13,2.5,43.6,50.3,51.9,43.2,47.3,Fail,302.3,50.38333333333333
1448,Female,16,Yes,Moderate,7.12,2.9,48.3,54.0,59.3,66.2,56.2,Pass,350.3,58.38333333333333
1449,Female,18,Yes,Moderate,6.04,1.3,23.7,49.2,32.5,26.6,32.0,Fail,221.8,36.96666666666667
1450,Female,17,Yes,Quiet,8.09,2.3,50.4,59.0,50.6,64.3,59.0,Pass,380.5,63.416666666666664
1451,Male,15,No,Moderate,6.11,2.5,35.1,34.2,51.5,43.0,42.6,Fail,262.4,43.73333333333333
1452,Female,18,Yes,Moderate,8.73,0.3,98.4,83.6,76.2,76.3,84.0,Pass,514.5,85.75
1453,Male,15,Yes,Noisy,6.84,1.6,53.8,52.3,43.2,53.7,49.8,Fail,318.3,53.050000000000004
1454,Male,15,Yes,Noisy,6.12,3.1,46.2,37.9,41.0,36.9,42.9,Fail,270.4,45.06666666666666
1455,Male,18,Yes,Noisy,7.56,3.5,54.2,47.4,60.0,52.6,54.5,Pass,329.0,54.833333333333336
1456,Female,18,Yes,Quiet,6.69,1.3,50.2,55.6,62.5,59.6,57.4,Pass,365.5,60.916666666666664
1457,Female,18,Yes,Quiet,7.44,3.2,76.7,61.1,61.1,77.8,66.5,Pass,442.9,73.81666666666666
1458,Female,18,Yes,Noisy,7.09,1.6,27.7,29.9,23.2,34.8,28.3,Fail,205.4,34.233333333333334
1459,Male,18,Yes,Moderate,5.62,1.2,34.5,49.8,35.4,46.1,40.5,Fail,271.79999999999995,45.29999999999999
1460,Male,15,Yes,Moderate,6.93,5.4,57.6,36.8,36.0,42.8,41.3,Fail,306.4,51.06666666666666
1461,Male,16,Yes,Quiet,7.5,1.9,51.4,42.8,61.0,50.4,56.1,Pass,314.9,52.48333333333333
1462,Male,16,No,Noisy,7.11,0.3,49.1,38.6,53.9,49.0,45.3,Fail,294.2,49.03333333333333
1463,Male,18,Yes,Moderate,8.26,1.8,51.3,42.0,43.6,47.9,49.2,Fail,324.5,54.083333333333336
1464,Male,15,Yes,Moderate,7.31,2.1,51.4,54.9,45.9,39.4,46.8,Fail,314.7,52.449999999999996
1465,Female,16,Yes,Noisy,6.76,3.9,31.6,19.5,35.0,45.8,31.6,Fail,220.49999999999997,36.74999999999999
1466,Female,16,No,Quiet,7.21,2.0,54.2,56.3,59.1,50.5,55.7,Pass,355.1,59.18333333333334
1467,Female,16,No,Moderate,6.51,3.1,34.9,22.9,23.4,48.8,31.7,Fail,208.6,34.766666666666666
1468,Female,15,Yes,Moderate,7.36,4.1,30.1,33.9,40.0,29.4,36.0,Fail,255.7,42.61666666666667
1469,Male,18,Yes,Moderate,7.36,1.6,45.6,55.0,52.1,43.3,48.6,Fail,285.1,47.51666666666667
1470,Male,18,Yes,Quiet,5.76,2.9,35.3,44.3,39.0,47.8,38.1,Fail,259.2,43.199999999999996
1471,Female,18,Yes,Moderate,7.77,2.4,51.6,51.5,34.2,41.7,43.8,Fail,298.4,49.73333333333333
1472,Male,17,Yes,Moderate,9.23,2.8,48.1,52.7,54.6,56.9,54.0,Pass,317.40000000000003,52.900000000000006
1473,Female,17,Yes,Moderate,7.55,2.7,35.2,33.8,29.0,56.6,37.0,Fail,261.8,43.63333333333333
1474,Female,17,Yes,Noisy,4.97,2.7,59.1,57.7,70.8,56.7,63.2,Pass,386.0,64.33333333333333
1475,Female,15,Yes,Quiet,6.57,2.1,29.0,35.1,32.7,26.4,30.2,Fail,212.29999999999998,35.38333333333333
1476,Male,16,Yes,Noisy,5.72,2.5,55.4,55.3,55.2,59.6,52.2,Pass,345.9,57.65
1477,Female,16,Yes,Moderate,6.71,2.1,52.4,40.3,46.2,56.9,51.3,Pass,329.69999999999993,54.94999999999999
1478,Female,15,Yes,Moderate,7.69,6.0,22.9,21.6,31.2,9.8,20.2,Fail,182.4,30.400000000000002
1479,Female,15,No,Quiet,6.28,3.4,44.9,36.6,50.2,49.2,42.6,Fail,316.29999999999995,52.71666666666666
1480,Male,18,Yes,Quiet,8.88,2.5,29.3,24.8,17.6,34.1,23.3,Fail,186.50000000000003,31.08333333333334
1481,Male,18,No,Moderate,4.12,2.0,62.2,64.9,65.6,55.9,62.6,Pass,366.3,61.050000000000004
1482,Female,17,Yes,Quiet,6.75,4.0,56.5,59.3,45.4,38.6,51.8,Pass,341.29999999999995,56.883333333333326
1483,Male,17,Yes,Noisy,7.38,1.3,58.3,66.9,52.6,71.5,59.9,Pass,384.9,64.14999999999999
1484,Male,15,Yes,Quiet,5.78,0.6,45.8,37.2,31.1,61.2,43.6,Fail,285.1,47.51666666666667
1485,Male,17,Yes,Noisy,5.91,0.5,58.8,49.7,59.7,69.3,57.6,Pass,356.3,59.38333333333333
1486,Male,16,Yes,Moderate,7.76,4.4,44.3,58.2,49.9,67.8,56.9,Pass,359.29999999999995,59.883333333333326
1487,Male,15,Yes,Moderate,8.93,4.4,36.4,32.3,40.9,49.3,38.2,Fail,261.29999999999995,43.54999999999999
1488,Male,15,No,Quiet,9.05,2.7,34.0,28.7,36.5,32.3,33.1,Fail,246.3,41.050000000000004
1489,Male,16,Yes,Quiet,6.65,1.7,29.4,39.3,31.7,41.4,36.2,Fail,267.0,44.5
1490,Male,18,Yes,Quiet,8.35,1.7,72.6,69.8,74.1,73.3,71.4,Pass,432.79999999999995,72.13333333333333
1491,Male,18,Yes,Moderate,6.93,5.6,35.8,22.3,19.1,15.1,21.1,Fail,162.99999999999997,27.16666666666666
1492,Male,16,Yes,Moderate,7.92,2.4,41.0,34.3,33.4,37.3,35.3,Fail,259.8,43.300000000000004
1493,Female,16,Yes,Moderate,6.79,3.0,85.5,81.8,83.3,82.7,84.2,Pass,504.1,84.01666666666667
1494,Female,17,Yes,Noisy,5.87,1.8,54.0,60.7,60.9,52.4,55.6,Pass,371.6,61.93333333333334
1495,Male,15,Yes,Moderate,8.6,2.6,36.1,45.0,31.7,46.7,40.3,Fail,272.3,45.38333333333333
1496,Female,17,Yes,Quiet,8.86,3.1,52.7,69.2,74.9,57.4,64.3,Pass,362.8,60.46666666666667
1497,Female,16,Yes,Quiet,6.58,5.2,62.6,59.0,62.3,60.4,62.5,Pass,369.99999999999994,61.66666666666666
1498,Male,17,Yes,Noisy,7.94,2.4,33.7,33.2,48.2,57.7,43.5,Fail,278.8,46.46666666666667
1499,Male,16,Yes,Quiet,6.85,3.3,52.4,49.3,60.9,61.0,54.9,Pass,361.3,60.21666666666667
1500,Male,17,Yes,Moderate,9.18,2.0,83.3,76.2,66.8,83.4,77.2,Pass,463.1,77.18333333333334
1501,Female,17,No,Quiet,5.51,2.8,61.2,46.5,43.9,43.8,49.0,Fail,327.9,54.65
1502,Female,18,Yes,Quiet,6.82,3.0,61.5,48.9,54.0,62.7,53.4,Pass,340.3,56.71666666666667
1503,Male,16,Yes,Moderate,5.55,2.2,53.3,65.6,61.6,37.8,56.4,Pass,347.9,57.98333333333333
1504,Male,17,No,Moderate,5.41,2.9,33.0,27.2,41.6,30.1,33.2,Fail,200.70000000000002,33.45
1505,Male,15,Yes,Moderate,6.88,1.4,53.1,52.0,67.7,69.0,62.2,Pass,367.9,61.31666666666666
1506,Female,17,Yes,Moderate,6.55,3.3,35.0,56.5,49.8,54.3,52.3,Pass,295.6,49.26666666666667
1507,Female,17,Yes,Quiet,5.99,2.6,79.7,66.5,65.0,82.8,74.9,Pass,465.0,77.5
1508,Female,15,Yes,Quiet,7.84,1.7,66.5,54.1,50.0,51.9,55.3,Pass,354.8,59.13333333333333
1509,Female,16,Yes,Moderate,8.3,2.3,50.7,63.5,57.6,50.5,55.4,Pass,354.1,59.01666666666667
1510,Male,18,Yes,Moderate,7.51,4.5,45.4,39.9,27.5,26.6,36.2,Fail,227.20000000000002,37.86666666666667
1511,Male,18,Yes,Quiet,5.12,2.3,43.8,44.1,50.2,44.1,43.9,Fail,294.20000000000005,49.03333333333334
1512,Male,18,Yes,Moderate,7.34,3.1,63.3,51.0,55.0,57.6,57.2,Pass,364.0,60.666666666666664
1513,Male,15,Yes,Moderate,7.33,3.1,52.8,81.2,74.2,71.3,67.7,Pass,404.09999999999997,67.35
1514,Female,17,Yes,Quiet,6.16,3.4,46.9,55.1,49.0,37.3,45.6,Fail,297.0,49.5
